text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The project description focuses on addressing issues related to youth participation in crime and violence within a slum area in Rio de Janeiro. The key drivers mentioned include poverty, low education levels, social marginalization, violence from state forces and armed groups, dysfunctional families, and lack of leisure facilities. While the text does not explicitly mention housing or shelter provision, it strongly implies an urban context due to the reference to a 'favela,' which is typically an informal settlement in an urban area. The project aims to provide personal development, sports, education, employment opportunities, and social support services, focusing on improving conditions for vulnerable young people. This aligns with addressing broader urban issues but does not directly relate to housing provision or shelter activities as defined by the criteria.",False,False,False,False,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The description explicitly mentions 'affordable and social housing projects,' which directly aligns with the 'Social' classification due to its reference to community-oriented housing solutions like public or cooperative housing. Additionally, it includes 'housing projects' in general, which fits under the 'Housing' classification as it involves provision and construction of housing. The mention of 'urban infrastructure' implies an urban setting but does not explicitly tie into activities specific to urban locations, so while it suggests a context, it doesn't strongly warrant an 'Urban' classification without more explicit evidence.",True,False,False,False,True,False,False,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The text describes a project aimed at developing the tourism potential of the Imereți region, supporting the local labor market, and enhancing economic opportunities through tourism development. The project involves creating tourist materials, training guides, and improving services for tourists, such as restaurants and accommodations. While these activities are related to tourism and economic development, there is no explicit mention or strong contextual clue directly related to housing, shelter, or any specific aspect of the expanded definition of the housing sector provided. Therefore, based on the given criteria, this text does not match any classes within the housing sector.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The text explicitly mentions 'HOUSING IMPROVEMENTS,' which directly aligns with the 'Housing' classification as it involves upgrading inadequate housing. The mention of 'healthier homes' further supports this classification by implying improvements in living conditions related to shelter. While there are broader themes such as poverty reduction and income generation, these do not specifically relate to other classifications without explicit context linking them to housing or shelter.",True,False,False,False,False,False,False,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project description explicitly mentions the 'construction of 15 houses for poor families' in Southern India. This directly aligns with the definition of the 'Housing' classification as it involves constructing housing units. The text also specifies that this initiative is aimed at poor or lower-class families, which further emphasizes its focus on providing shelter and addressing inadequate living conditions. There are no explicit mentions or strong contextual clues suggesting involvement in homelessness, transitional shelters, incremental improvements, social housing models like community land trusts or cooperatives, market-rate housing activities, or specific urban/rural distinctions beyond the general location (Southern India). Therefore, the classification is straightforwardly aligned with 'Housing'.",True,False,False,False,False,False,False,False
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The text describes providing medical and physiological assistance to a transmigrated population that is a victim of violence in Mexico. It mentions prioritizing vulnerable migrant populations, expanding attention to migration stations, asylum seekers, and those not attending shelters. The explicit mention of 'población que no acude a los albergues' suggests the involvement of shelter-related activities, which aligns with transitional housing due to its focus on temporary support for displaced or vulnerable groups such as migrants and asylum seekers.",False,False,True,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The text explicitly mentions studying possible improvements and expansions of housing, addressing issues related to health and durability, which directly relates to the 'Housing' classification. Additionally, it involves evaluating the structural integrity of houses and proposing improvements, further supporting this classification. The focus on local techniques for enhancing thermal comfort in homes also aligns with upgrading inadequate housing. There is no explicit mention or strong contextual clue indicating homelessness, transitional housing, incremental development, social housing, market-rate housing, urban-specific activities, or rural-specific activities.",True,False,False,False,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The text describes a program related to 'SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPs'. The mention of 'shelter' suggests a potential alignment with housing-related activities, specifically those that might involve temporary or emergency accommodations. The term 'IDPs' (Internally Displaced Persons) often implies the need for transitional shelters such as emergency shelters, refugee shelters, or camps, which are typically temporary solutions in crisis situations. However, there is no explicit mention of specific types of housing like transitional or incremental housing. The context strongly suggests a focus on providing shelter and services to displaced individuals within urban settings, aligning with the 'Transitional' classification due to the nature of IDP accommodations.",False,False,True,False,False,False,False,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The text describes a project aimed at providing comprehensive outreach and shelter specifically for the homeless in Delhi, targeting two areas: Yamuna Pushta and Jama Masjid. The explicit mention of 'providing shelter' aligns directly with the 'Housing' classification. Additionally, since the focus is on addressing homelessness by offering shelters to specific groups (men at Yamuna Pushta and single women at Jama Masjid), it also fits under the 'Homelessness' category. There are no explicit mentions or strong contextual clues related to transitional, incremental, social, market, urban, or rural classifications within this text.",True,True,False,False,False,False,False,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The text primarily discusses the empowerment and implementation of rights for vulnerable children in urban settings, particularly focusing on street children, favela children, and migrant children in growing favelas of newly industrialized cities. The specific objectives aim to strengthen, implement, and consolidate the rights of these vulnerable groups. The results section mentions improved family and social reintegration through alternative NGO models and a shift from zero-tolerance policies towards child-friendly approaches that promote inclusion. There is no explicit mention of housing or shelter provision, but there are strong contextual clues related to urban settings and potentially inadequate living conditions in favelas. This suggests an implicit connection to the 'Urban' classification due to the focus on children in specific urban locations (favelas) and efforts towards social integration and improved living environments.",False,False,False,False,False,False,True,False
