text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The project description provided by FIGHT FOR PEACE INTERNATIONAL focuses on addressing youth participation in crime and violence within a favela, which is an urban slum area in Rio de Janeiro, Brazil. The key issues mentioned include poverty, low education levels, social marginalization, violence from state forces and armed groups, dysfunctional families, and lack of leisure facilities. The project aims to offer personal development, sports, education, employment opportunities, and social support services to vulnerable young people. This approach is intended to enable youth to realize their full potential and increase social cohesion and peace in the community.

Given these details, let's evaluate each class:
- **Housing**: There is no explicit mention of housing provision or related activities such as construction, upgrading, or policy development.
- **Homelessness**: The text does not describe tents for the homeless, encampments, or shelters specifically for the homeless.
- **Transitional**: There are no references to emergency shelters, refugee shelters, camps, or temporary supportive housing.
- **Incremental**: While slum upgrading could be inferred as part of improving conditions in a favela, there is no explicit mention of housing sites, technical assistance, structural repairs, or neighborhood integration.
- **Social**: The project involves social support services and aims to increase social cohesion, which aligns with the concept of community-based interventions. However, it does not explicitly describe community land trusts, cooperative housing, or public housing.
- **Market**: There is no mention of home-rental, mortgages, rent-to-own housing, or market-rate housing activities.
- **Urban**: The project takes place in Mare favela, an urban slum area in Rio de Janeiro. This explicitly describes the location as urban.
- **Rural**: The project does not describe any activities in rural locations.

Based on this analysis, the most relevant classification is 'Urban' due to the explicit mention of the project's location within an urban favela.",False,False,False,False,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The text describes a framework loan aimed at funding affordable and social housing projects along with associated urban infrastructure in South Africa. The mention of 'affordable and social housing' directly aligns with the definition of the 'Social' class, which includes community land trusts, cooperative housing, or public housing. Additionally, since these projects are to be implemented throughout South Africa, it implies an urban context, thus matching the 'Urban' classification as well. There is no explicit mention of homelessness, transitional shelters, incremental improvements, market-rate housing, or rural activities in this description.",False,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The provided text describes a project aimed at developing the tourism potential of the Imereți region in Georgia, focusing on enhancing the local labor market through tourism development and promotion. The project involves creating tourist attraction descriptions, training guides and service providers, and distributing materials to interested parties. It emphasizes economic development through tourism rather than housing or shelter-related activities. There is no mention of any housing provision, homelessness solutions, transitional shelters, incremental housing improvements, social housing initiatives, market-rate housing developments, or specific urban or rural location-based activities related to the housing sector. The focus is entirely on tourism and local business support.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The text describes a project that focuses on poverty reduction, housing improvements, and land adjustments. It aims to support disadvantaged communities by improving their capacity for income generation and ensuring healthier homes. The mention of 'housing improvements' directly aligns with the definition of the 'Housing' class, as it involves upgrading inadequate housing or providing technical assistance related to housing. Additionally, the focus on supporting disadvantaged communities could imply elements of 'Social' housing, such as community land trusts or cooperative housing, although these are not explicitly mentioned. The project's aim to improve income generation and health in homes does not directly relate to homelessness, transitional, incremental, market, urban, or rural classifications based on the provided definitions.",True,False,False,False,True,False,False,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project description focuses on the construction of 15 houses for poor families in Southern India. The key elements to consider are: 

1. **Housing**: The text explicitly mentions 'construction of 15 viviendas' (houses), which directly relates to the provision and construction of housing.
2. **Rural**: The project is located in Haliyal, a taluk within Uttara Kannada district in Karnataka, India. This area is typically rural given its description as a group of municipalities rather than an urban center.
3. **Social**: The target beneficiaries are families from 'clases bajas' (lower classes), which implies a focus on social equity and support for disadvantaged groups. Although the text does not explicitly mention community land trusts, cooperative housing, or public housing, the context suggests a social initiative aimed at improving living conditions for low-income families.

The description does not provide information about homelessness, transitional shelters, incremental improvements, market-rate housing, or specific urban activities. Therefore, these classes do not apply.",True,False,False,False,True,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The text describes efforts to improve the medical and humanitarian situation for a transmigrant population that has been victims of violence in Mexico. It mentions providing quality medical assistance, prioritizing vulnerable migrant populations, and expanding attention to migration stations, asylum seekers, and those not attending shelters. The focus is on medical and physiological support rather than housing directly. However, it does mention 'albergues,' which can be interpreted as shelters or temporary accommodations, aligning with the concept of transitional housing. There are no explicit mentions of urban or rural settings, homelessness, incremental improvements, social housing models, market-based solutions, or general housing provision.",False,False,True,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The text describes a project focused on improving the habitat of a specific area, NDJORÉ III. It involves studying possible improvements and expansions to housing, addressing issues related to health and durability. The project includes census activities, evaluating the structural integrity of 83 self-built houses, and proposing enhancements. There is also an investigation into local techniques for developing proposals for false ceilings to improve thermal comfort in homes. Additionally, it mentions constructing and installing two prototypes. This description aligns with several classes: 'Housing' due to the focus on improving housing conditions and construction; 'Incremental' because of the emphasis on upgrading existing structures and integrating improvements; and potentially 'Rural', assuming NDJORÉ III is a rural location based on typical contexts for such projects, though this isn't explicitly stated.",True,False,False,True,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The text describes a program related to 'shelter' and 'urban services' for Syrian internally displaced persons (IDPs). The mention of 'shelter' suggests it could relate to housing or transitional categories, as these involve providing shelter in emergencies or temporary supportive housing. However, the context is specifically about urban services for IDPs, which aligns with the 'Urban' category due to its focus on activities within specific urban locations. There's no explicit mention of homelessness, incremental improvements, social housing models, market-rate housing, or rural activities. The text does not provide enough detail to classify it under 'Housing,' 'Transitional,' 'Incremental,' 'Social,' 'Market,' or 'Rural' categories based on the definitions provided.",False,False,False,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The project description mentions 'comprehensive outreach and shelter for the homeless of Delhi,' which directly aligns with the 'Homelessness' class as it involves providing shelters specifically for the homeless population. The locations mentioned, Yamuna Pushta and Jama Masjid, are specific urban areas in Delhi, indicating that this activity is taking place within an urban setting, thus matching the 'Urban' class. There is no explicit mention of transitional housing, incremental improvements, social or market housing models, nor a focus on rural settings, so these classes do not apply.",False,True,False,False,False,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The text describes a program focused on strengthening the rights of vulnerable children in Brazil, particularly those living in favelas and other challenging environments such as street children and internally displaced children. The project involves local organizations working with families and communities to integrate and protect these children's rights through various interventions. Key aspects include improving family and social reintegration using NGO models, raising awareness about child rights among children and adults, transitioning from a zero-tolerance policy towards vulnerable children to an inclusive approach in local policies, and organizing local partners for sustainable management of projects.

The text does not explicitly mention housing or homelessness but discusses the living conditions of children in favelas (informal settlements) and their integration into society. The focus on urban locations like industrialized cities with growing favelas suggests an 'Urban' classification. Additionally, the emphasis on improving social reintegration and community involvement aligns with a 'Social' aspect, as it involves working with communities to protect children's rights.

The text does not explicitly mention transitional or incremental housing solutions, nor does it focus on homelessness shelters or market-rate housing. It also doesn't specify rural activities but rather focuses on urban settings.",False,False,False,False,True,False,True,False
