text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The description provided by FIGHT FOR PEACE INTERNATIONAL focuses on tackling issues of youth at risk in a slum area due to violence, poverty, and lack of opportunities for personal development. The project aims to offer personal development, sports, education, employment opportunities, and social support services to vulnerable young people in the Mare favela. While this doesn't explicitly mention housing or homelessness per se, it involves community intervention within a slum area which is often associated with inadequate housing conditions. Key phrases such as 'slums' imply that there might be considerations of upgrading living conditions indirectly through improved social services and opportunities, thus potentially relating to the incremental class due to the focus on improving neighborhood integration and addressing structural issues in slums. Additionally, since the project occurs within a specific urban location - Mare favela in Rio de Janeiro - it also aligns with activities described under the 'urban' classification.",False,False,False,True,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The text mentions a framework loan aimed at funding 'affordable and social housing projects' as well as 'associated urban infrastructure, including social amenities' in South Africa. This description aligns with several of the defined classes. Specifically:

1. **Housing**: The mention of 'housing projects' fits the criteria for this class, which includes provision or construction of housing.
2. **Social**: The explicit reference to 'social housing projects' directly matches this class, as it involves community land trusts, cooperative housing, or public housing, all aspects of social housing.
3. **Urban**: Since the projects are located throughout South Africa and involve urban infrastructure, this suggests activities in specific urban locations which aligns with the 'urban' classification.
The text does not mention homelessness, transitional living situations, incremental improvements, market-rate developments, or rural activities specifically. Therefore, these classes do not apply based on the given information.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The project described focuses on developing the tourism potential of the Imereti region and supporting the local labor market by enhancing economic opportunities through tourism development. It does not mention any direct involvement with housing, shelter provision, or homelessness support. The project involves creating tourist attraction descriptions, a thematic website, distribution of materials, training guides, service providers, and businesses to serve tourists. It highlights the potential for job creation in services related to tourism but doesn't specify urban or rural distinctions within its activities.

Considering the definitions:
- **Housing**: No mention of housing provision or upgrading is made.
- **Homelessness**: There's no reference to homeless shelters, encampments, or similar facilities.
- **Transitional**: The project does not describe temporary or emergency shelter solutions.
- **Incremental**: Although it involves economic development through tourism, there's no direct mention of slum upgrading or housing services.
- **Social**: No mention of community land trusts or cooperative housing.
- **Market**: While the project could indirectly affect market activities related to tourism (such as accommodations), it doesn't explicitly discuss real estate markets like home rental or mortgages.
- **Urban**: The document does not specify that these activities are occurring in an urban location. It only mentions Kutaisi, without detailing if the activities are exclusively urban-focused.
- **Rural**: Similarly, while Imereti could be considered a rural region compared to larger cities, there is no explicit indication that the project targets rural areas specifically; it speaks about the region more broadly.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The project description focuses on supporting disadvantaged communities with housing improvements and adjustments to land, which indicates a connection to the 'Housing' class. It aims at improving capacity for income generation and having healthier homes, suggesting interventions that could involve upgrading inadequate housing or construction activities. The mention of poverty reduction aligns with broader social objectives but doesn't specifically point towards any other particular class like 'Social', 'Transitional', or 'Incremental'. There is no explicit mention of emergency shelters, public housing, community land trusts, cooperative housing, homelessness solutions (like tents or encampments), market-rate activities, urban-specific locations, or rural-specific contexts. Therefore, the primary match is with the 'Housing' category.",True,False,False,False,False,False,False,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The text describes the construction of 15 houses for poor families in Southern India. The focus is on building housing specifically for economically disadvantaged groups. The process includes securing initial capital to start construction and mentions that this effort aligns with local government requirements for further subsidies, indicating a planned initiative for improving housing conditions among these families.

- The explicit mention of 'construction of 15 houses' directly points towards the provision of new housing units.
- It specifies the geographical location as Southern India, particularly in rural areas (municipalities and districts), which suggests activities are not urban-focused but rather rural.
- There is no direct mention of homelessness, transitional living spaces like emergency or refugee shelters, or social structures such as cooperative housing.
- The project does not detail any market-oriented approaches such as mortgages or rent-to-own schemes.

Based on the information provided and the definitions given for each class:

- 'Housing' is a clear match due to the explicit mention of constructing houses.
- 'Rural' fits because the activity takes place in rural municipalities and districts, rather than specific urban locations.",True,False,False,False,False,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The description provided focuses on providing medical and physiological assistance to a transmigrated population that has been victims of violence in Mexico. It emphasizes improving the humanitarian situation by offering quality medical care, prioritizing vulnerable migrant populations, and expanding attention to migration stations, asylum seekers, and those not using shelters. While the text does discuss services related to migrants affected by violence, it does not specifically mention any housing-related activities such as provision or upgrading of housing, emergency shelters, or transitional living arrangements. There is no explicit reference to homelessness, transitional housing, incremental housing projects, social housing structures like community land trusts, market-rate housing solutions, or specific urban/rural locations for these activities.",False,False,False,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The text describes a project focused on improving and expanding the housing in the Ndjouré III area, emphasizing resolving issues related to hygiene and durability of homes. It involves surveying the population and assessing the structural integrity of 83 self-built houses to propose improvements. Additionally, it mentions researching local techniques for developing a prototype that improves thermal comfort in homes by installing two prototypes. Based on this description:

- The focus is clearly on housing improvement, which includes upgrading inadequate housing and conducting technical assessments related to housing construction.
- There is no mention of homelessness-related activities such as shelters or encampments, so it does not match the 'Homelessness' class.
- No explicit mention of emergency or temporary shelters is found in the text; hence it doesn't align with the 'Transitional' category.
- The project includes structural repairs and potential slum upgrading (improving existing houses), which fits into 'Incremental'.
- There's no indication of community land trusts, cooperative housing, or public housing projects, so 'Social' is not applicable.
- It does not specifically mention activities related to the housing market such as home-rentals or mortgages, thus it does not match with 'Market'.
- The description lacks specific urban location references, so 'Urban' class isn't clearly identified.
- Finally, without explicit rural context described in the text, 'Rural' is less clear. However, considering typical development contexts where such projects are common, it might implicitly relate to a rural setting unless specified otherwise.",True,False,False,True,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The text describes a program related to 'shelter' services specifically for Syrian internally displaced persons (IDPs), indicating some form of housing provision. Additionally, it mentions activities focused on 'urban services,' which suggests an urban context. The mention of the Federal Office for Migration and policies concerning asylum seekers does not directly align with any specific classes like homelessness or transitional but could be indirectly related to providing temporary or emergency shelters for displaced individuals. However, the emphasis is more on shelter provision in an urban setting rather than defining a particular type of housing structure or financial arrangement. Therefore, based on these observations, potential matches include 'Housing' due to the focus on shelter services and 'Urban' due to the mention of urban services.",True,False,False,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The project description focuses on comprehensive development specifically targeting marginal communities in Delhi, with outreach efforts directed towards the homeless populations at two distinct locations: Yamuna Pushta for men and Jama Masjid for single women. The provision of psychosocial care alongside building awareness of basic rights and access to public programs suggests an effort that goes beyond mere shelter provision; however, it does imply an element of addressing homelessness due to its explicit mention of providing outreach and shelter. There are no direct mentions of transitional shelters or temporary housing solutions, ruling out the 'Transitional' class. The project takes place in specific urban locations (Delhi), so the 'Urban' classification is applicable. There is no indication that this involves incremental upgrades to existing structures, nor does it mention cooperative housing, public housing, or market-related activities like home-rental or mortgages, which rules out 'Incremental', 'Social', and 'Market'. The rural category is also not relevant due to the explicit urban setting of Delhi. Therefore, based on these observations, the most applicable classifications are 'Homelessness' for addressing homelessness specifically and 'Urban' for its location-specific nature.",False,True,False,False,False,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The text provided is about a program aimed at strengthening and implementing the rights of vulnerable children in Brazil, particularly focusing on street children, favela children, children in conflict with the law, and internally displaced children arriving in growing favelas of industrialized cities. The program involves several local organizations that focus on child protection, integration, awareness-raising about child rights, and policy influence. The initiative emphasizes integrative processes within children's living environments, family and community involvement, and capacity building for local partners to become strong advocates for children's rights.

While the text does not explicitly mention housing or related terms as defined in the classes (such as provision of housing, shelters, etc.), it discusses activities related to vulnerable children who might be living in inadequate conditions such as favelas. This setting suggests a connection with urban environments and possibly transitional aspects due to the focus on integration and support for displaced and vulnerable populations.

Specifically:
- The mention of 'favela-kinderen' (children from favelas) and those who migrate internally into these growing areas implies an 'Urban' context.
- The program’s integrative processes, which work with families and communities to improve the living conditions of children, might suggest aspects of 'Incremental' changes in housing or neighborhood conditions through slum upgrading or similar interventions.

Thus, based on the descriptions provided, there are potential matches related to urban environments and incremental improvements. However, explicit connections to transitional settings (like emergency shelters) or direct housing provision are not clearly articulated.",False,False,False,True,False,False,True,False
