text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The activity title and description focus on providing vocational training and development opportunities for children and young people at risk in a specific urban area, Mare favela, which is described as one of the most dangerous slums in Rio de Janeiro. The initiative involves personal development, education, employment opportunities, and social support services aimed at reducing youth participation in crime and violence by addressing issues such as poverty, low levels of education, and social marginalisation. Although this program does not directly involve housing construction or shelter provision, it addresses the broader environment that impacts housing conditions indirectly through community improvement and stability initiatives. This aligns with aspects related to 'Urban' due to its specific focus on an urban slum area. The project could also relate to 'Incremental', as it aims at improving social cohesion and providing services within the existing communities, which can contribute towards incremental improvements in living conditions and neighborhood integration over time.",False,False,False,True,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The activity description explicitly mentions 'affordable and social housing projects' which directly aligns with both 'Social' and 'Housing' categories as defined by the provided criteria. The inclusion of 'urban infrastructure, including social amenities,' further solidifies the classification under 'Urban', as it indicates activities specifically aimed at enhancing urban areas. There is no explicit mention of homelessness, transitional housing (like emergency shelters), incremental development practices, or market-rate housing concepts like home-rental or mortgages within this description. Similarly, there's no indication that the projects are targeting rural areas explicitly; thus, 'Rural' classification does not apply here.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The activity title and description provided focuses on the development of tourism potential in the Imereti region, aiming to strengthen the economic capabilities through local tourism and employment support. The initiative includes creating a tourist guide for the region, developing thematic portals, distributing materials, training guides, and offering business skill training to those providing services to tourists. It also mentions infrastructure aspects like affordable flights initiated in 2013.

Upon reviewing each classification:
- **Housing**: There is no mention of housing provision, upgrading, construction, or related activities.
- **Homelessness**: No references to homeless shelters or related facilities are present.
- **Transitional**: There's no description concerning emergency shelters, refugee camps, or temporary supportive housing.
- ",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The provided text involves an activity title and description related to urban development and management, focusing on poverty reduction, housing improvements, land adjustment, social security, and insurance. Here's a breakdown of how the text aligns with the possible classes:

1. **Housing**: The mention of 'housing improvements' suggests activities that directly involve improving or constructing housing, which fits within this class.

2. **Social**: The focus on supporting disadvantaged communities by improving their capacity for income generation and having healthier homes can be linked to social measures like community land trusts or cooperative housing that aim at benefiting marginalized groups.

3. **Urban**: The term 'urban development' in the sector explicitly indicates activities taking place in urban locations, making this a clear match.

4. **Transitional**: Although not as explicit, supporting disadvantaged communities and improving their living conditions might involve elements of transitional housing if temporary shelters or support mechanisms are used during improvement processes.

5. **Incremental**: The aim to improve the capacity for income generation and healthier homes suggests incremental improvements in housing and community services, which aligns with this class.

The text does not explicitly mention homelessness, market-rate housing, or specific rural activities, so these classes do not seem applicable based on the given definitions.",True,False,True,True,True,False,True,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The activity title and description mention the construction of houses specifically for poor families in Southern India. This aligns directly with the definition under 'Housing,' which includes construction of housing as a key element. There is no explicit reference to homeless shelters, emergency or transitional contexts such as refugee camps or temporary supportive housing that would fit the 'Transitional' category. The description does not mention tents for the homeless, encampments, or specifically homeless shelters, so it doesn't match with 'Homelessness.' Similarly, there are no mentions of incremental improvements like slum upgrading or neighborhood integration in this context, ruling out 'Incremental.'

The description also does not detail any cooperative housing models, community land trusts, or public housing which would fit under the 'Social' category. There is no mention of activities related to home-rental markets, mortgages, rent-to-own, or market-rate housing that fits into the 'Market' classification.

While it mentions a rural location (a taluk in Uttara Kannada), there's no explicit emphasis on urban-specific activities as might be required for an 'Urban' classification. However, given the specific mention of a rural area, it qualifies under 'Rural.' The main focus remains construction and provision of housing in a rural setting.",True,False,False,False,False,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The activity title and description focus on providing medical and physiological assistance to a transmigrated population affected by violence in Mexico. The key aspects include enhancing the medical situation, prioritizing vulnerable migrant populations, and extending care at migration stations and for individuals who do not attend shelters. The terms 'transmigrante' (transmigrant) and references to victims of violence suggest displacement, potentially involving emergency or temporary housing needs as part of humanitarian support. Despite this context, there is no explicit mention of housing, homelessness, transitional shelters, incremental housing initiatives, social housing projects, market-based housing solutions, or specific urban or rural activities related directly to the provision or improvement of housing conditions. The focus remains on medical assistance rather than direct involvement in housing sectors.",False,False,False,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The activity title and description focus on improving the habitat of a specific area (Ndjoré III) by addressing housing conditions, particularly concerning salubridad (health/sanitation), durability, and thermal comfort in self-constructed houses. The activities include studying possible improvements, conducting a census of the population, evaluating structural integrity, researching local techniques for proposing a false ceiling to improve thermal comfort, and constructing/installing prototypes. These tasks indicate an intervention aimed at upgrading existing housing conditions, which aligns with the 'Incremental' category defined by slum upgrading or housing structural repairs. The emphasis on self-constructed houses being assessed and improved suggests efforts in incremental development of these dwellings. Additionally, since this activity involves detailed local work that may be rural due to its specificity (and often such projects are located in less urbanized settings), there is a possibility for it falling under 'Rural.' However, without explicit mention of the location's type, this remains speculative.",False,False,False,True,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The given text describes an activity under the title 'SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS.' The key terms here are 'shelter' and 'urban services.' Based on our definitions, 'shelter' could potentially relate to multiple classes. Specifically, it might suggest 'Transitional' if referring to emergency or temporary housing solutions for Internally Displaced Persons (IDPs), which aligns with the concept of providing shelter in non-permanent conditions. Additionally, because the term 'urban services' is mentioned alongside 'shelter,' this could indicate a focus on urban areas, thus suggesting an alignment with the 'Urban' class. The context does not specifically mention homelessness encampments or permanent housing solutions, so classes like 'Housing,' 'Homelessness,' or 'Social' are less likely to be directly applicable. Similarly, without explicit mentions of incremental development activities, market-based housing mechanisms, or rural settings, those classes also seem irrelevant.",False,False,True,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The activity title and description mention the development of marginal communities in Delhi, focusing on comprehensive outreach and shelter for the homeless. Key components include providing psychosocial care, raising awareness about rights and public programs, and specifically addressing areas like Yamuna Pushta (for men) and Jama Masjid (for single women). This indicates efforts towards addressing homelessness with a focus on urban settings in Delhi. The project involves providing shelters to the homeless, which aligns with definitions related to 'Homelessness' due to the mention of shelter for homeless individuals. Additionally, since these activities are situated in specific urban areas within Delhi, this fits under 'Urban.' There is no explicit mention of transitional housing (such as emergency or temporary supportive housing), incremental efforts like slum upgrading, social housing models (like community land trusts or cooperative housing), market housing activities (mortgages or rent-to-own schemes), or rural activities in the description. Therefore, the classifications that match based on the provided definitions are 'Homelessness' and 'Urban.'",False,True,False,False,False,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The activity title and description focus on the rights of vulnerable children in urban settings, specifically mentioning street children, favela children, children in conflict with the law, and internally displaced children settling in expanding favelas. The activities include partnerships with local organizations that specialize in accommodation, integration, sensitization to children's rights, and policy influence, working within families and communities around the child.

The text does not explicitly mention housing or shelter provision but discusses 'integrative processes' and 'preventive interventions.' While this suggests an element of providing support structures for vulnerable groups, it is more related to social integration and community work rather than direct housing activities. There are no explicit mentions of homelessness, emergency shelters, refugee camps, slum upgrading, land trusts, cooperative housing, or public housing.

The urban setting is specified with reference to the favelas in industrialized cities, indicating a focus on urban areas. No rural locations are mentioned.

While some activities could indirectly relate to the incremental class due to their integrative nature and emphasis on community-based interventions, these do not align directly with the explicit definitions provided (e.g., housing sites, technical assistance). The social class might seem relevant because of community work and rights sensitization but does not fit the direct definitions given for cooperative or public housing.

Overall, the primary classification that matches is 'Urban' due to the specific mention of activities in urban favelas and industrialized cities.",False,False,False,False,False,False,True,False
