text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI,thoughts AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,"Housing: The text does not explicitly mention activities related to housing provision, shelter upgrades, or construction.
Homelessness: There is no explicit description of tents for the homeless, encampments, or shelters in the text.
Transitional: Emergency shelters or temporary supportive housing are not described in this project.
Incremental: The text does not mention slum upgrading, housing structural repairs, or neighborhood integration explicitly.
Social: There is no explicit reference to community land trusts, cooperative housing, or public housing.
Market: No mention of home-rental, mortgages, rent-to-own housing, or market-rate housing is made in the text.
Urban: The project takes place in Mare favela, an urban area in Rio de Janeiro, which matches the 'urban' classification as it involves activities in a specific urban location.
Rural: There are no descriptions of activities occurring in rural locations."
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,"Housing: The text explicitly mentions funding for 'affordable and social housing projects,' which matches the definition of providing housing and related services.
Homelessness: There is no mention of tents, encampments, or homeless shelters; thus, it does not match this class.
Transitional: The description lacks any reference to emergency shelters, refugee camps, or temporary supportive housing, so it does not fit here.
Incremental: No explicit references are made to housing sites, technical assistance, slum upgrading, structural repairs, or neighborhood integration. Thus, it doesn't match this category.
Social: The text explicitly refers to 'social housing,' aligning with the definition of community land trusts, cooperative housing, or public housing.
Market: There is no mention of home-rental, mortgages, rent-to-own housing, or market-rate housing; hence it does not fit this class.
Urban: The project takes place throughout South Africa and involves urban infrastructure, suggesting activities in specific urban locations, which matches the urban definition.
Rural: There is no explicit reference to rural areas; therefore, it doesn't match this category."
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Housing: The text does not mention any activities related to housing provision, upgrading, construction, or policy. Therefore, it is not a match for the 'Housing' class.
Homelessness: There is no mention of tents, encampments, or shelters specifically for homeless individuals. Thus, it does not fit the 'Homelessness' class.
Transitional: The description lacks any reference to emergency, refugee, or temporary supportive housing, making it an unsuitable match for the 'Transitional' class.
Incremental: While the project involves improving tourism potential and services, there is no explicit mention of slum upgrading or structural repairs related to housing. It does not qualify as 'Incremental'.
Social: There is no indication of community land trusts, cooperative housing, or public housing initiatives in the text, ruling out a match with the 'Social' class.
Market: Although there are implications for local businesses through tourism development, the text does not explicitly describe activities like home-rentals, mortgages, or market-rate housing. Therefore, it is not classified under 'Market'.
Urban: The project focuses on the Imereti region without specifying urban locations within that area. There is no direct mention of urban-focused activities, so it doesn't match the 'Urban' class.
Rural: Similar to 'Urban', while the Imereti region might include rural areas, there are no specific mentions or focus on activities in rural settings. Hence, it does not align with the 'Rural' class."
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,"Housing: The text mentions 'HOUSING IMPROVEMENTS,' which aligns with upgrading inadequate housing or construction of housing.
Homelessness: There is no explicit mention of tents, encampments, or shelters for the homeless.
Transitional: The project does not describe emergency shelters, refugee camps, or temporary supportive housing.
Incremental: 'HOUSING IMPROVEMENTS' might imply structural repairs or slum upgrading, fitting under incremental if more details were available.
Social: No mention of community land trusts, cooperative housing, or public housing is made.
Market: The text does not reference home-rental, mortgages, rent-to-own housing, or market-rate housing.
Urban: The sector 'Urban development and management' suggests activities in specific urban locations.
Rural: There is no mention of activities in rural areas."
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,"Housing: The text explicitly mentions the construction of housing (15 houses) which directly aligns with this category.
Homelessness: There is no mention of tents or shelters specifically for the homeless; hence it does not match.
Transitional: The project focuses on permanent construction rather than emergency or temporary shelters, so it doesn't fit here.
Incremental: While the text describes a supportive approach with initial funding and community contribution, there's no specific mention of slum upgrading or structural repairs. It does involve construction but not incrementally in terms of services or technical assistance to existing structures.
Social: There is no explicit reference to cooperative housing or public housing; therefore, it doesn't match this category.
Market: The project involves low-cost housing for poor families and government subsidies rather than market-rate housing solutions like mortgages or rent-to-own schemes.
Urban: The activity takes place in a rural area (specifically in the taluk of Haliyal), so it does not fit under urban activities.
Rural: The project is located in a specific rural location, Uttara Kannada district, Karnataka, which directly matches this category."
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Housing: The text does not mention housing provision, construction, or policy; it focuses on medical assistance.
Homelessness: No explicit reference to tents, encampments, or shelters for the homeless is made.
Transitional: The text references 'transmigrated populations' and mentions 'albergues' (shelters), indicating some connection to transitional housing like refugee shelters.
Incremental: There is no mention of housing sites, technical assistance, or slum upgrading activities.
Social: The project does not explicitly discuss community land trusts, cooperative housing, or public housing.
Market: No explicit mention of home-rentals, mortgages, rent-to-own schemes, or market-rate housing.
Urban: While it mentions stations and possibly urban areas where migration occurs, there's no explicit focus on activities in specific urban locations.
Rural: The text does not specify rural settings for its activities."
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,"Housing: The text explicitly mentions improving the habitat of Ndjoré III through construction activities, which aligns with the provision of shelter and upgrading inadequate housing.
Homelessness: There is no mention of tents, encampments, or homeless shelters, so this class does not match.
Transitional: Emergency shelters or temporary supportive housing are not mentioned; therefore, it does not fit this classification.
Incremental: The project involves evaluating and proposing improvements to existing houses, which aligns with incremental improvements such as housing technical assistance and structural repairs.
Social: There is no mention of community land trusts, cooperative housing, or public housing in the text.
Market: Market-related terms like home-rental, mortgages, or market-rate housing are not mentioned.
Urban: The description does not specify whether Ndjoré III is an urban location; thus, it cannot be clearly classified as urban.
Rural: Similarly, there's no explicit mention that Ndjoré III is a rural area; therefore, this classification is uncertain."
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,"Housing: The text mentions 'shelter' for Syrian IDPs, which aligns with the provision of housing in emergencies.
Homelessness: Not explicitly mentioned; the focus is on providing shelter rather than specifically addressing homelessness shelters or encampments.
Transitional: The program involves providing shelter to internally displaced persons (IDPs), fitting the definition of transitional as it provides emergency support.
Incremental: There's no mention of housing sites, slum upgrading, or neighborhood integration, so this class does not apply.
Social: No reference to community land trusts, cooperative housing, or public housing is made in the text.
Market: The text doesn’t discuss home-rental, mortgages, rent-to-own housing, or market-rate housing.
Urban: While urban services are mentioned, there's no explicit description of activities being carried out specifically in an urban location.
Rural: No mention of activities occurring in rural locations."
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,"Housing: The text describes providing shelter specifically for the homeless, which aligns with provision of housing or homelessness services.
Homelessness: The activity explicitly mentions focusing on the homeless population, thus directly matching this category.
Transitional: While emergency shelters could be implied by 'comprehensive outreach and shelter,' there's no explicit mention of temporary supportive housing or similar concepts.
Incremental: There is no specific mention of slum upgrading, structural repairs, or neighborhood integration activities in the description.
Social: The project involves comprehensive development and provision of psychosocial care, which aligns with community-focused social services.
Market: There's no reference to market-rate housing, mortgages, or other market-based housing solutions.
Urban: The project is specifically located in Delhi, an urban area, fitting the 'urban' classification criteria.
Rural: Activities are described as taking place in specific locations within Delhi, which is not a rural setting."
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,"Housing: The text does not explicitly describe any activities related to housing provision or improvement, so it does not match this class.
Homelessness: While it mentions favelakinderen (children from favelas), which may imply vulnerability akin to homelessness, the focus is on rights and integration rather than providing shelters. Thus, it does not clearly fit here.
Transitional: The text does not mention emergency or temporary housing situations like refugee camps or transitional shelters, so this class is not applicable.
Incremental: There's no mention of slum upgrading or structural repairs in the context of housing; hence, this category is not matched.
Social: While community and social integration are themes, there is no specific mention of public housing or cooperative models that would clearly fit into this class.
Market: The project does not involve activities like home rental or mortgages, so it doesn't match this class.
Urban: The text explicitly describes the activity as taking place in 'aangroeiende favela's van de nieuw geïndustrialiseerde steden' (growing slums of newly industrialized cities), which clearly indicates an urban setting.
Rural: There is no mention or implication that activities are occurring in rural locations, so this class is not applicable."
