text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The activity title and description focus on a vocational training project aimed at reducing youth involvement in crime and violence within a specific urban slum, Mare favela, in Rio de Janeiro. The key elements of the project include personal development, sports, education, employment opportunities, and social support services for vulnerable young people. While the primary goal is not directly related to housing, several aspects can be linked to broader definitions within the housing sector:

1. **Urban**: The activity explicitly mentions Mare favela in Rio de Janeiro, which is an urban location.
2. **Incremental**: Although not directly mentioned, the project's focus on improving social conditions and providing opportunities for vulnerable youth could indirectly relate to neighborhood integration and upgrading living conditions within the slum.

The description does not explicitly mention any other housing-related activities such as provision of shelter, homelessness services, transitional shelters, or specific types of housing like cooperative or public housing. Therefore, these classes do not apply based on the given definitions.",False,False,False,True,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The activity title and description mention 'affordable and social housing projects' which directly aligns with the 'Social' class as it involves community land trusts, cooperative housing, or public housing. The inclusion of 'urban infrastructure' and the context being throughout South Africa suggests an urban setting, thus matching the 'Urban' class. Additionally, since this is about funding housing projects, it also falls under the broader category of 'Housing'. There are no explicit mentions of homelessness, transitional shelters, incremental improvements, or rural activities in the description provided.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The activity title and description provided focus on the development of tourism potential in the Imereți region, including support for the local labor market through tourism. The project aims to enhance economic potential by developing local tourism and promoting employment opportunities within this sector. It involves creating a detailed description of tourist attractions, establishing a thematic portal, distributing materials, training tour guides, and providing business skills training to service providers in the area.

The text does not explicitly mention any activities related to housing or homelessness, such as provision of shelter, upgrading inadequate housing, or homeless shelters. Similarly, there is no explicit reference to transitional housing like emergency shelters or refugee camps. Incremental housing aspects like slum upgrading or neighborhood integration are also absent from the description.

Social housing elements such as community land trusts, cooperative housing, or public housing are not mentioned. Market-related activities like home-rental, mortgages, rent-to-own housing, or market-rate housing are also not discussed in the text.

The project is described as taking place in a specific region (Imereți), which includes urban and rural elements due to its mention of attractions such as historical sites, nature, and tourism facilities. However, there is no explicit distinction between urban and rural activities within the description provided.

In conclusion, while the text does not explicitly match any of the housing sector classes defined in the task, it does describe activities that occur in a specific region with both urban and rural characteristics.",False,False,False,False,False,False,True,True
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The activity title and description mention 'urban development and management' which suggests a focus on urban areas. The phrase 'housing improvements' directly aligns with the definition of the 'Housing' class, as it involves upgrading inadequate housing. Additionally, the project aims to support disadvantaged communities in improving their capacity for income generation and having healthier homes, which could imply efforts towards slum upgrading or neighborhood integration, fitting into the 'Incremental' category. The mention of 'social security charges and insurance' might suggest elements related to social safety nets but does not explicitly fit any class definitions provided. Overall, the primary focus appears to be on housing improvements within an urban context.",True,False,False,True,False,False,True,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The activity title and description provided focus on the construction of low-cost housing for poor families in Southern India. The key elements to consider are: 

1. **Construction of Houses**: This directly relates to the provision of housing, which is a clear indicator of the 'Housing' class.
2. **Target Group - Poor Families**: The focus on poor families suggests an effort to provide adequate shelter and improve living conditions, aligning with housing initiatives aimed at low-income groups.
3. **Location - Southern India (Uttara Kannada)**: While the description mentions a specific rural location in Karnataka, it does not explicitly describe activities as being urban or rural-focused beyond this context.
4. **Government Subsidy and Family Contribution**: The involvement of government subsidies and family contributions indicates an incremental approach to housing development, where families are gradually improving their living conditions with external support.

Based on these observations, the primary classification is 'Housing' due to the explicit mention of constructing houses for poor families. Additionally, there's a secondary match with 'Incremental' because of the structured financial and labor contributions from both the government and beneficiaries.",True,False,False,True,False,False,False,False
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The activity title and description focus on providing medical and physiological assistance to a transmigrated population that has been victims of violence in Mexico. The key elements mentioned include improving the medical and humanitarian situation, offering quality medical assistance, prioritizing vulnerable migrant populations, and expanding attention to migration stations, asylum seekers, and those not attending shelters.

To determine if any classifications match, we need to identify explicit mentions or implications related to housing-related activities:
- 'Housing' would require explicit mention of shelter provision, construction, upgrading, etc., which is absent here.
- 'Homelessness' involves tents, encampments, or homeless shelters, none of which are mentioned.
- 'Transitional' includes emergency shelters, refugee camps, and temporary supportive housing. The text mentions expanding attention to migration stations and those not attending shelters, suggesting a connection to transitional support for migrants.
- 'Incremental', 'Social', 'Market', 'Urban', and 'Rural' require explicit mentions of specific activities or locations related to these categories, which are not present in the description.

The closest match is 'Transitional' due to the focus on assisting a transmigrated population, potentially involving temporary support structures like migration stations.",False,False,True,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The activity title and description focus on improving the habitat of a specific area, NDJORÉ III, by studying possible improvements and expansions to housing. The project involves assessing the structural integrity of self-constructed houses and proposing enhancements, particularly addressing issues related to health and durability. It also includes researching local techniques for constructing prototypes that improve thermal comfort in homes. This description aligns with several classes: 

1. **Housing**: The text explicitly mentions improving housing by resolving problems of salubridad (health) and poca durabilidad (durability), which falls under the provision of upgrading inadequate housing.
2. **Incremental**: The project involves studying improvements, proposing enhancements, and constructing prototypes, which aligns with housing technical assistance and slum upgrading.
3. **Social**: Although not explicitly mentioned, the focus on self-constructed houses and community involvement suggests elements of cooperative or community-driven housing initiatives.

The description does not mention homelessness, transitional shelters, market-rate housing, specific urban or rural locations, making those classes less relevant.",True,False,False,True,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The activity title and description mention 'SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS.' This suggests a focus on providing shelter, which aligns with the 'Housing' class as it involves provision of housing or shelter. The term 'URBAN SERVICES' indicates that these activities are taking place in urban settings, matching the 'Urban' class. There is no explicit mention of homelessness, transitional shelters, incremental improvements, social housing models, market-based solutions, or rural locations. Therefore, the relevant classifications based on the provided definitions are 'Housing' and 'Urban.'",True,False,False,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The activity title and description mention the development of marginal communities in Delhi, focusing on providing outreach and shelter for the homeless. The specific locations mentioned are Yamuna Pushta and Jama Masjid, which are urban areas within Delhi. The project aims to provide psychosocial care and build awareness of basic rights and public programs, indicating a focus on social support. The mention of 'shelter for the homeless' directly relates to homelessness. Since the activity is taking place in specific urban locations (Delhi), it also fits under the urban category. There are no explicit mentions of housing construction or upgrading, transitional shelters, incremental improvements, cooperative housing, market-rate housing, or rural activities.",False,True,False,False,False,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The activity title and description focus on the realization of rights for all children, specifically targeting vulnerable groups such as street children, favela children, children in conflict with the law, and internally displaced migrant children in urban areas. The text emphasizes strengthening, implementing, and consolidating these children's rights through partnerships with local organizations that specialize in various aspects like shelter, integration, child rights sensitization, and policy influence. The description mentions integrative processes and preventive interventions embedded in the children's living environments, which suggests a focus on improving their social conditions rather than directly addressing housing or homelessness. Additionally, the activity is set within urban favelas of newly industrialized cities, indicating an urban context. There are no explicit references to housing provision, homelessness shelters, transitional shelters, incremental housing improvements, cooperative housing models, market-rate housing, or rural activities.",False,False,False,False,False,False,True,False
