text,sector_code,Housing DK,Homelessness DK,Transitional DK,Incremental DK,Social DK,Market DK,Urban DK,Rural DK,thoughts AI,Housing AI,Homelessness AI,Transitional AI,Incremental AI,Social AI,Market AI,Urban AI,Rural AI
"FIGHT FOR PEACE INTERNATIONAL Primary goal (Comic Relief): Children and young people at risk. Related issues (Comic Relief): NULL. Summary: In Mare favela, one of the most dangerous slums in Rio de Janeiro, Brazil, drug-related gun violence is the primary cause of death of young people. Key drivers for youth participation in crime and violence include poverty, low levels of education, social marginalisation, violence from state forces and armed groups, dysfunctional families, and a lack of leisure facilities. This project will extend a tried and tested approach that offers personal development, sports, education and employment opportunities and social support services to vulnerable young people in the favela, enabling young people to realise their full potential and increasing social cohesion and peace in the target communities. Full grant commitment: GBP 468 thousand.",11330,False,False,False,False,False,False,True,False,"The text describes a project by FIGHT FOR PEACE INTERNATIONAL aimed at addressing youth violence in Mare favela, Rio de Janeiro, Brazil. The primary focus is on providing personal development, sports, education, employment opportunities, and social support services to vulnerable young people. While the main goal is related to reducing crime and violence among youth, there are several elements that intersect with housing-related issues:

1. **Incremental**: The project mentions addressing issues in a 'favela,' which typically refers to informal settlements or slums. Efforts to improve conditions in such areas often involve slum upgrading, neighborhood integration, and providing better living environments, aligning with the incremental class.

2. **Urban**: The location specified is Mare favela in Rio de Janeiro, a specific urban area, which directly matches the 'urban' classification.

3. **Social**: While not explicitly stated, projects aimed at improving conditions in slums often involve elements of social housing initiatives such as community development and integration efforts.

The text does not specifically mention transitional or homelessness support, nor does it focus on market-based solutions or rural settings. Therefore, these classes do not apply here.",False,False,False,True,False,False,True,False
"AFFORDABLE AND SOCIAL HOUSING II Framework loan to be made available to several financial intermediaries for the funding of affordable and social housing projects and associated urban infrastructure, including social amenities, throughout South Africa. (SECTOR CODE : 41201400 - hous",43030,False,False,False,False,True,False,True,False,"The title mentions 'affordable and social housing,' which directly relates to the 'Social' class as it involves community land trusts, cooperative housing, or public housing. The mention of 'housing projects' aligns with the broader 'Housing' class since it includes provision of housing, construction of housing, and urban development. Additionally, the reference to 'urban infrastructure' suggests an 'Urban' context, indicating that this activity is specifically focused on urban areas. There are no explicit mentions or implications related to homelessness, transitional housing, incremental housing, market-based housing support, or rural locations in the given text.",True,False,False,False,True,False,True,False
"DEVELOPENT OF TOURISTIC POTENCIAL IN THE IMERETI REGION. SUPPORT FOR THE LOCAL LABOUR MARKET. Projekt mia? na celu wzmocnienie potencja?u ekonomicznego rejonu Imereti poprzez rozwój lokalnej turystyki i popularyzacje zatrudnienia w turystyce. Rejon zasta? wybrany ze wzgl?du brak ?wiadomo?ci biznesu turystycznego w rejonie przy jednoczesnym potencjale zabytków, przyrody oraz atrakcji turystycznych a tak?e przez wzgl?d na nowe mo?liwo?ci rozwoju turystyki poprzez uruchomione w 2013 roku tanie przeloty z ró?nych krajów Europy do Kutaisi (najwi?ksze miasto rejonu Imereti). Projekt jest przemy?lany i kompleksowy. Cel ogólny zostanie zrealizowany poprzez 3 sk?adowe projektu: 1. stworzenie opisu atrakcji turystycznych rejonu Imereti wraz z mapk?. Nast?pnie stworzenie portalu tematycznego - turystucznego o rejonie Imereti oraz dystrybucja materia?ów po?ród wszystkich zainteresowanych firm, instytucji i punktów informacyjnych (dystrybucja egzemplarzy drukowanych oraz materia?ów z mo?liwo?ci? samodzielnego wydruku). Wszystkie materia?y dost?pne s? w j?zyku gruzi?skim oraz angielskim. 2. Szkolenie przewodników turystycznych rejonu. 3. Szkolenie osób dostarczaj?cych us?ugi oraz produkty, b?d?ce potencjalnym zakupem turystów - restauracje, sklepiki, noclegi, jazda konna czy lepienie tradycyjnych form gruzi?skich z gliny. Szkolenie to dotyczy?o podej?cia biznesowego do klienta, zrozumienie mechanizmów i potrzeb rynku oraz potencja?u turystycznego rejonu. Turyst?, który jest po?rednim odbiorc? tego projektu, jest turysta o ?redniej zasobno?ci portfela, nie szukaj?cy dóbr i warunków luksusowych. Dodatkowym elementem by?a realizacja 5 artyku?ów na temat rejonu Imereti oraz publikacja ich na portalu NaTemat.",33210,False,False,False,False,False,False,False,False,"The text describes a project aimed at developing the tourism potential in the Imerti region, with a focus on enhancing economic opportunities through local tourism and employment promotion. The key elements of this project include creating tourist attraction descriptions, training guides, and providing business skills to service providers. There is no direct mention or implication of housing-related activities such as construction, upgrading, or shelter provision. Instead, the text focuses on tourism development, which aligns with the donor's chosen sector 'Tourism policy and administrative management.' The project involves creating a thematic portal for tourism in Imerti, training guides, and service providers to cater to tourists' needs. There is no mention of specific urban or rural locations within the region that would allow classification under those categories. Additionally, there are no references to homelessness, transitional housing, incremental housing, social housing, or market-based housing support. Therefore, based on the provided definitions for each class and the content of the text, none of the housing-related classes seem applicable.",False,False,False,False,False,False,False,False
"METHODS AND INSTRUMENTS FOR THE POVERTY REDUCTION , HOUSING IMPROVEMENTS AND ADJUSTMENT LAND. SOCIAL SECURITY CHARGES AND INSURANC THE PROJECT AIMS TO SUPPORT DISADVANTAGED COMMUNITIES IMPROVING THEIR CAPACITY FOR INCOME GENERATION AND TO HAVE HEALTHIER HOMES",43030,True,False,False,True,True,False,False,False,"The text mentions 'poverty reduction, housing improvements,' which directly relates to the Housing class as it involves upgrading inadequate housing and improving living conditions. The phrase 'healthier homes' further supports this classification. Additionally, the project aims to support disadvantaged communities, suggesting a focus on social aspects of housing, aligning with the Social class due to its emphasis on community-based initiatives like cooperative or public housing. There is no mention of homelessness, transitional housing, incremental housing specifics, market-based solutions, or specific urban/rural locations in the text provided.",True,False,False,False,True,False,False,False
"CONSTRUCTION OF 15 HOUSES FOR POOR FAMILIES IN SOUTHERN INDIA Título completo del proyecto: Construcción de 15 viviendas, para familias pobres, en el sur de la India :: Aportación del capital inicial para la construcción de 15 viviendas para familias de las denominadas   clases bajas   en el taluk (municipios agrupados) de Haliyal, distrito de Uttara Kannada, Estado de Karnataka, India. Con este capital inicial (18,19 % del presupuesto total) del que carecen por completo estas familias, se puede iniciar la obra de la vivienda, que es requisito del Gobierno del Estado de Karnataka para acceder a otra subvención de mayor cuantía (68,18 % del coste de la vivienda), y la propia contribución de los beneficiarios con su trabajo (13,63 % aproximadamente del presupuesto).",16040,True,False,False,False,False,False,False,True,"The project description focuses on the construction of houses for poor families in Southern India. It mentions building 15 houses specifically for low-income families in a rural area within the district of Uttara Kannada, Karnataka, India. The text outlines financial aspects such as initial capital contribution and government subsidies, which are necessary to start the housing construction. This aligns with several classes: 

1. **Housing**: The primary focus is on constructing houses, fitting directly into the definition of providing housing.
2. **Incremental**: There's an element of incremental development since it involves initial capital contributions and government subsidies that enable further construction, indicating a step-by-step approach to building homes.
3. **Rural**: The project is located in Haliyal, a rural area within Uttara Kannada district, which fits the definition for rural housing projects.

The text does not mention homelessness, transitional or temporary shelters, social housing models like community land trusts or cooperative housing, market-based solutions such as mortgages or rent-to-own schemes, or specific urban locations. Therefore, these classes do not apply.",True,False,False,True,False,False,False,True
"MEDICAL AND PHYSIOLOGICAL ASSISTANCE FOR TRANSMIGRATED POPULATION, VICTIM OF VIOLENCE IN MEXICO. Contribuir a la mejora de la situación médica y humanitaria de la población transmigrante victima de violencia en México, proporcionando asistencia médica de calidad, priorizando la población migrante más vulnerable y ampliando la atención a las estaciones de mgiración, solicitantes de condición de refugio y población que no acude a los albergues.",12220,False,False,False,False,False,False,False,False,"The description provided focuses on providing medical and physiological assistance to a transmigrated population that has been victims of violence in Mexico. The key elements here are the focus on improving the medical situation for this vulnerable group, prioritizing those most at risk, and expanding care to migration stations, asylum seekers, and individuals not using shelters.

1. **Housing**: While the text does mention providing assistance to those who do not use shelters, it primarily focuses on medical aid rather than housing provision or shelter construction/upgrading. Therefore, 'Housing' is not a primary classification here.

2. **Homelessness**: The text mentions individuals who do not use shelters but does not specifically focus on providing tents, encampments, or homeless shelters. Thus, it doesn't directly describe homelessness support.

3. **Transitional**: This class involves emergency shelters, refugee camps, and temporary supportive housing. Since the text discusses migration stations and asylum seekers, which can be considered transitional spaces for migrants, this could be a relevant classification.

4. **Incremental**: The description does not focus on slum upgrading or neighborhood integration, so 'Incremental' is unlikely to apply here.

5. **Social**: There's no mention of community land trusts, cooperative housing, or public housing initiatives in the text, so this class doesn't match.

6. **Market**: The description does not discuss market-based solutions like home-rental or mortgages, so 'Market' is not applicable.

7. **Urban**: While Mexico includes urban areas, the text does not specify that the assistance is provided in specific urban locations. Therefore, this class doesn't directly apply.

8. **Rural**: Similarly, there's no mention of rural locations being specifically targeted by the described activities, so 'Rural' isn't a match either.

Overall, the primary focus is on medical assistance for migrants, with some elements that suggest transitional housing support due to the involvement of migration stations and asylum seekers.",False,False,True,False,False,False,False,False
OWN CALL FOR PROPOSALS. PROJECT: COLLABORATION IN IMPROVING THE HABITAT OF NDJORÉ III Estudiar las posibles mejoras y ampliaciones de las viviendas resolviendo problemas de salubridad y poca durabilidad. Censar a la población. Valorar la integridad constructiva de las 83 casas autoconstruidas y proponer mejoras. Investigación de las técnicas locales para elaborar las propuestas de un falso techo que mejore el confort térmico en las viviendas. Construir e instalar 2 prototipos.,16040,True,False,False,False,False,False,False,False,"The text describes a project focused on improving the habitat of NDJORÉ III by studying potential improvements and expansions to housing, addressing issues related to health and durability. It involves census activities, evaluating the structural integrity of self-constructed houses, proposing enhancements, researching local techniques for better thermal comfort through false ceilings, and constructing prototypes. This aligns with several aspects of the 'Housing' class due to its focus on upgrading inadequate housing and construction-related activities. The mention of self-constructed homes suggests an incremental approach as it involves improving existing structures rather than building new ones from scratch. There is no specific mention of homelessness, transitional housing, social or market-based housing support, nor any indication that the project is specifically urban or rural in nature.",True,False,False,True,False,False,False,False
SHELTER AND URBAN SERVICES FOR VULNERABLE SYRIAN IDPS The program puts into action the decision of the Federal Council to implement the international cooperation in the field of migration as described in the report IMZ (Internationale Migrationszusammenarbeit) of February 2011. It will fund activities of the Federal Office for Migration (FOM) aiming to defend Swiss interests (basically in the field of return)  and to promote coherent migration policies in the countries of origin of asylum seekers.,72010,False,False,True,False,False,False,True,False,"The text describes a program focused on providing shelter and urban services specifically for vulnerable Syrian internally displaced persons (IDPs). The mention of 'shelter' aligns with activities related to housing, particularly within an emergency context, which suggests it could fall under the 'Transitional' category. This is because transitional housing often includes emergency shelters or temporary supportive housing for displaced individuals. Additionally, since the program targets urban services and vulnerable populations in a specific urban setting (Syria), this also aligns with the 'Urban' classification. The text does not explicitly mention homelessness, incremental housing, social housing, market-based solutions, or rural settings, so these categories do not seem applicable based on the given information.",False,False,True,False,False,False,True,False
COMPREHENSIVE DEVELOPMENT OF MARGINAL COMMUNITIES IN DELHI - GOOD NEIGHBOUR PROJECT 2013 To provide comprehensive outreach and shelter for the homeless of Delhi in two areas - Yamuna Pushta (for men) and Jama Masjid (for single women) - by providing psychosocial care and building awareness of and access to basic rights and public programs.,16010,False,True,False,False,False,False,True,False,"The text describes a project aimed at providing comprehensive outreach and shelter for the homeless in specific areas within Delhi, namely Yamuna Pushta and Jama Masjid. The focus is on offering psychosocial care and building awareness of basic rights and access to public programs for men and single women who are homeless. This aligns with several classes from the housing sector definitions provided:

1. **Homelessness**: The project explicitly targets the homeless population, providing shelter and support services.
2. **Transitional**: The provision of shelter in specific areas suggests a form of temporary or transitional housing for the homeless individuals until they can access more permanent solutions.
3. **Urban**: The locations mentioned (Yamuna Pushta and Jama Masjid) are within Delhi, which is an urban setting.

The project does not specifically mention aspects like incremental housing improvements, social housing models, market-based support, or rural settings, so these classes do not apply based on the given text.",False,True,True,False,False,False,True,False
"A LA RÉALISATION DES DROITS POUR TOUS LES ENFANTS Background:  Specifieke doelstelling voor dit landenluik is: 'De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd 'De bereikte directe doelgroep betreft straatkinderen, favelakinderen, kinderen in conflict met de wet en de uit het binnenland migrerende kinderen die in de aangroeiende favela's van de nieuw geïndustrialiseerde steden terechtkomen. Het ingezette partnerbestand wordt uitgebreid naar zes lokale organisaties (AMAR, CEDECA, CESAC, FAVOS DE MEL, PAMEN , REDE RIO CRIANÇA) en telt onderling complementaire specialisaties voor zowel opvang, integratie, kinderrechten sensibilisatie als beleidsbeïnvloeding. Alle partners werken tevens met de gezinnen en leefgemeenschappen rondom het kind. Integratieve processen en toenemende preventieve interventies, ingebed in de leefsfeer van het kind, worden zo opgewaardeerd in het programma. Via capaciteitsversterking wil KIYO de lokale partners doen uitgroeien tot sterke organisaties, die hun resultaten en doelstellingen behalen en kunnen behouden. KIYO biedt ondersteuning op beheersmatig vlak (institutioneel, financieel, organisationeel), op inhoudelijk vlak (kinderrechtenbenadering) en op vlak van netwerking en beleidsbeïnvloeding door het systematisch opbouwen van de vaardigheden die hiervoor nodig zijn en die leiden tot een verhoogde internationale aandacht voor kinderrechten. - General objective:  A caminho dos direitos da Criança : Op weg naar de verwerving van kinderrechten - Specific objective:  De rechten van kwetsbare kinderen worden versterkt, geïmplementeerd en geconsolideerd - Results:  1.  De familiale en sociale re -integratie van kwetsbare kinderen is verbeterd dankzij toepassing van alternatieve NGO - modellen. 2.  Kinderen en volwassenen zijn zich bewust van de rechten van het kind en de stappen die zij kunnen ondernemen om de leefomgeving en kansen van kinderen te verbeteren. 3.  Eind 2016 is een overgangsproces ingezet van een politiek van nultolerantie t.a.v kwetsbare kinderen naar een kindvriendelijke aanpak die inclusie bevordert en stapsgewijs verankerd wordt in het lokale beleid. 4.   Lokale partners zijn duurzaam georganiseerd, beheren de projecten op een efficiënte manier en staan samen sterk om de rechten van het kind te beschermen en te bevorderen. -",15160,False,False,False,False,False,False,True,False,"The text describes a program focused on the rights of vulnerable children in urban settings, specifically mentioning street children and those living in favelas within growing industrial cities. The project involves local organizations working with families and communities to integrate and sensitize them about child rights. It mentions transitional processes for integrating vulnerable children through alternative NGO models, which aligns with the concept of 'transitional' housing or support. Additionally, the focus on urban settings such as favelas indicates an 'urban' classification. The text does not explicitly mention traditional housing construction or homelessness shelters but rather focuses on social integration and rights implementation in a specific urban context.",False,False,True,False,False,False,True,False
