RecipientName,value
Mexico,1539.871921
India,1194.221028
Uzbekistan,1190.041532
Argentina,1127.17959
Egypt,1030.917093
Indonesia,749.163294
Brazil,674.348322
Colombia,436.263702
Peru,391.239633
Kenya,355.192146
Ukraine,236.47923
Ecuador,224.693465
Pakistan,212.092362
Haiti,164.212476
Morocco,164.194039
Iraq,157.391489
Serbia,137.890461
Lebanon,130.478304
Cabo Verde,123.28804
El Salvador,121.427888
"Bilateral, unspecified",120.065569
Bosnia and Herzegovina,106.50452
"Europe, regional",106.251507
Jordan,95.993436
Sri Lanka,95.681702
Nicaragua,92.011249
Kazakhstan,89.011746
Tunisia,88.411864
Afghanistan,79.424102
Mongolia,73.544646
West Bank and Gaza Strip,73.124516
"Western Africa, regional",67.547231
Bolivia,63.388151
South Africa,62.575659
Georgia,60.325484
Rwanda,60.074368
Uruguay,55.562461
Türkiye,53.756212
Yemen,44.446692
Montenegro,43.159959
Myanmar,42.481656
North Macedonia,41.803735
Viet Nam,41.070323
Bangladesh,39.477218
Paraguay,38.123079
Djibouti,36.184278
Namibia,34.719334
Bhutan,25.053723
"Africa, regional",22.974542
Honduras,21.317807
Nepal,21.074975
Mozambique,19.92917
Sudan,17.658225
"South of Sahara, regional",17.457252
Moldova,16.777437
Belarus,15.829109
Uganda,15.665564
Armenia,15.121938
China (People's Republic of),14.782812
Kyrgyzstan,12.488421
"North of Sahara, regional",11.893752
Ghana,11.781719
Mali,9.448286
Suriname,9.38833
Syrian Arab Republic,8.563024
Dominica,8.419594
Democratic Republic of the Congo,7.715791
Tanzania,7.539031
Fiji,7.44704
Dominican Republic,6.682171
Philippines,6.471171
Panama,6.237327
Kiribati,5.650731
"Asia, regional",5.638737
Guatemala,5.612666
Guyana,4.164593
Senegal,3.874099
Cambodia,3.66439
"Caribbean & Central America, regional",3.451578
Tonga,3.255531
Malaysia,3.201648
"America, regional",3.177172
Albania,3.124104
Seychelles,2.641744
Costa Rica,2.592978
Cameroon,2.516507
"South America, regional",2.440971
Burkina Faso,2.284619
Grenada,2.071842
Zambia,2.048599
"Central Asia, regional",1.696388
Côte d'Ivoire,1.396945
Burundi,1.377437
Madagascar,1.364556
Cuba,1.232603
Somalia,1.189207
Samoa,1.173632
Comoros,1.122665
Malawi,1.102966
Liberia,1.043161
Zimbabwe,1.042371
Nigeria,0.942748
"Central America, regional",0.811675
Thailand,0.772413
"Southern Africa, regional",0.648789
Niger,0.633972
Ethiopia,0.626507
Chad,0.598894
Vanuatu,0.509613
Lao People's Democratic Republic,0.482309
Angola,0.477547
Chile,0.435455
Algeria,0.407135
Papua New Guinea,0.401205
Tajikistan,0.325003
Solomon Islands,0.291993
Venezuela,0.204966
Iran,0.175638
Azerbaijan,0.159551
Benin,0.158557
Mauritania,0.147962
Jamaica,0.113934
Sierra Leone,0.086556
Togo,0.044215
Kosovo,0.042802
"Far East Asia, regional",0.037249
"South Asia, regional",0.035865
Tuvalu,0.014429
South Sudan,0.014418
Palau,0.013157
Guinea-Bissau,0.012857
Equatorial Guinea,0.012606
Mauritius,0.008822
States Ex-Yugoslavia unspecified,0.008437
Democratic People's Republic of Korea,0.005578
"Middle East, regional",0.000111
