Year,Homelessness,Transitional housing,Incremental housing,Social housing,Market housing,Housing in general
2014,293.930874,1265.321439,304.238193,441.927938,144.605807,1559.066238
2015,22.807001,1621.849333,365.34266,262.895084,295.308429,1104.952205
2016,19.945973,3692.187646,304.107825,275.693647,384.512169,1165.893205
2017,105.187884,3792.818707,442.139421,560.108104,115.866323,994.487953
2018,146.682586,3762.680336,254.789359,295.517158,241.142018,1682.117973
2019,41.040245,3064.895884,273.802251,590.303613,317.711533,2018.774427
2020,48.669843,3693.491279,239.436862,502.234232,286.393281,1861.829393
2021,79.741314,9098.27741999999,284.145744,500.126466,249.557686,740.753346
2022,773.41508,17702.385286,280.640693,643.231304,541.295916,1357.190628
2023,101.47485,16871.243396,314.434504,851.905066,378.551522,1097.095872
